State,1978,1980,1982,1984,1986,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012
Alabama,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Rep
Alaska,S,S,S,S,S,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,Split
Arizona,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Rep,Rep,Rep,Rep,Rep,Rep
Arkansas,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
California,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Colorado,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Rep,Dem,Dem,Dem,Dem,Split
Connecticut,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Delaware,Dem,Dem,Dem,Dem,S,Split,Split,Split,Split,Split,Split,Split,Split,Split,Dem,Dem,Dem
Florida,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Georgia,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Rep,Rep,Rep,Rep,Rep
Hawaii,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Idaho,Rep,Rep,Rep,Rep,Rep,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Illinois,Dem,S,Dem,Dem,Dem,Dem,Split,Split,Split,Split,Split,Dem,Dem,Dem,Dem,Dem,Dem
Indiana,Rep,Rep,Rep,Rep,Rep,Split,Split,Split,Split,Split,Split,Split,Rep,Split,Split,Split,Rep
Iowa,Rep,Rep,Dem,Dem,Dem,Dem,Dem,Split,Rep,Rep,Rep,Rep,Split,Dem,Dem,Dem,Split
Kansas,Rep,Rep,Rep,Rep,Rep,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Kentucky,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Split,Split,Split,Split,Split
Louisiana,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Rep
Maine,S,S,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Dem,Dem,Dem,Dem,Dem,Rep
Maryland,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Massachusetts,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Michigan,Dem,Dem,Dem,S,S,Split,Split,Split,Split,Rep,Rep,Rep,Rep,Split,Split,Split,Rep
Minnesota,S,S,Dem,S,S,Dem,Dem,Dem,Dem,Split,Split,Split,Split,Dem,Dem,Dem,Rep
Mississippi,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Rep
Missouri,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Rep,Rep,Rep,Rep,Rep,Rep
Montana,Dem,Rep,S,S,S,Split,Split,Rep,Rep,Rep,Rep,Rep,Split,Split,Split,Split,Rep
Nebraska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,Dem,Dem,Dem,S,S,Split,Split,Split,Split,Split,Split,Split,Split,Split,Dem,Dem,Dem
New Hampshire,S,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Rep,Rep,Rep,Dem,Dem,Dem,Rep
New Jersey,Dem,Dem,Dem,S,S,Dem,Rep,Rep,Rep,Rep,Rep,Split,Dem,Dem,Dem,Dem,Dem
New Mexico,Dem,Dem,Dem,S,S,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
New York,S,S,S,S,S,Split,Split,Split,Split,Split,Split,Split,Split,Split,Dem,Dem,Split
North Carolina,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Dem,Dem,Dem,Dem,Rep
North Dakota,Rep,Rep,S,Rep,S,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Ohio,Dem,S,Dem,S,S,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,Rep
Oklahoma,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Rep,Rep,Rep
Oregon,Dem,Dem,Dem,Dem,Dem,Dem,Split,Rep,Rep,Rep,Rep,Split,Split,Dem,Dem,Dem,Split
Pennsylvania,S,Rep,S,S,S,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,Rep
Rhode Island,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
South Carolina,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep
South Dakota,Rep,Rep,Rep,Rep,Rep,Rep,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Tennessee,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Rep,Rep,Rep
Texas,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Utah,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Vermont,Rep,Rep,Rep,S,S,Split,Split,Split,Split,Dem,Split,Split,Dem,Dem,Dem,Dem,Dem
Virginia,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Rep,Rep,Rep,Rep,Split,Split,Split
Washington,S,Rep,Dem,Dem,Dem,Split,Dem,Split,Split,Split,Split,Split,Dem,Dem,Dem,Dem,Dem
West Virginia,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Wisconsin,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Split,Split,Rep,Rep,Split,Dem,Dem,Rep
Wyoming,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep 
