State Rank,States and Washington D.C.,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,Average annual growth rate (current dollars) in 2010-2019 %
,United States,65712,63179,60336,57617,55775,53657,52250,51371,50502,50046,0.0307
–,Washington D.C.,92266,85203,82372,75506,75628,71648,67572,66583,63124,60903,0.0472
1,Maryland,86738,83242,80776,78945,75847,73971,72483,71122,70004,68854,0.026
2,Massachusetts,85843,79835,77385,75297,70628,69160,66768,65339,62859,62072,0.0367
3,New Jersey,85751,81740,80088,76126,72222,71919,70165,69667,67458,67681,0.0266
4,Hawaii,83102,80212,77765,74511,73486,69592,68020,66259,61821,63030,0.0312
5,California,80440,75277,71805,67739,64500,61933,60190,58328,57287,57708,0.0376
6,Connecticut,78833,76348,74168,73433,71346,70048,67098,67276,65753,64032,0.0234
7,Washington,78687,74073,70979,67106,64129,61366,58405,57573,56835,55631,0.0393
8,New Hampshire,77933,74991,73381,70936,70303,66532,64230,63280,62647,61042,0.0275
9,Colorado,77127,71953,69117,65685,63909,61303,58823,56765,55387,54046,0.0403
10,Virginia,76456,72577,71535,68114,66262,64902,62666,61741,61882,60674,0.026
11,Utah,75780,71414,65358,65977,62912,60922,59770,57049,55869,54744,0.0368
12,Alaska,75463,74346,73181,76440,73355,71583,72237,67712,67825,64576,0.0175
13,Minnesota,74593,70315,68388,65599,63488,61481,60702,58906,56954,55459,0.0335
14,New York,72108,67844,64894,62909,60850,58878,57369,56448,55246,54148,0.0323
15,Rhode Island,71169,64340,63870,60596,58073,54891,55902,54554,53636,52254,0.0349
16,Delaware,70176,64805,62852,61757,61255,59716,57846,58415,58814,55847,0.0257
17,Illinois,69187,65030,62992,60960,59588,57444,56210,55137,53234,52972,0.0301
18,Oregon,67058,63426,60212,57532,54148,51075,50251,49161,46816,46560,0.0414
19,Wyoming,65003,61584,60434,59882,60214,57055,58752,54901,56322,53512,0.0218
20,North Dakota,64577,63837,61843,60656,60557,59029,55759,53585,51704,48670,0.0319
21,Wisconsin,64168,60773,59305,56811,55638,52622,51467,51059,50395,49001,0.0304
22,Texas,64034,60629,59206,56565,55653,53035,51704,50740,49392,48615,0.0311
23,Pennsylvania,63463,60905,59105,56907,55702,53234,52007,51230,50228,49288,0.0285
24,Nevada,63276,58646,58003,55180,52431,51450,51230,49760,48927,51001,0.0243
25,Nebraska,63229,59566,59970,56927,54996,52686,51440,50723,50296,48408,0.0301
26,Vermont,63001,60782,57513,57677,56990,54166,52578,52977,52776,49406,0.0274
27,Kansas,62087,58218,56422,54935,53906,52504,50972,50241,48964,48257,0.0284
28,Arizona,62055,59246,56581,53558,51492,50068,48510,47826,46709,46789,0.0319
29,Georgia,61980,58756,56183,53559,51244,49321,47829,47209,46007,46430,0.0326
30,Iowa,61691,59955,58570,56247,54736,53712,52229,50957,49427,47961,0.0284
31,Idaho,60999,55583,52225,51807,48275,47861,46783,45489,43341,43490,0.0383
32,Michigan,59584,56697,54909,52491,51084,49847,48273,46859,45981,45413,0.0306
33,South Dakota,59533,56274,56521,54467,53017,50979,48947,48362,48321,45904,0.0293
34,Florida,59227,55462,52594,50860,49426,47463,46036,45040,44299,44409,0.0325
35,Maine,58924,55602,55277,53079,51494,49462,46974,46709,46033,45815,0.0284
36,Ohio,58642,56111,54021,52344,51075,49308,48081,46829,45749,45090,0.0296
37,Indiana,57603,55746,54181,52314,50532,49446,47529,46974,46438,44613,0.0288
38,Missouri,57409,54478,53578,51746,50238,48363,46931,45321,45247,44301,0.0292
39,North Carolina,57341,53855,52752,50584,47830,46556,45906,45150,43916,43326,0.0316
40,Montana,57153,55328,53386,50027,49509,46328,46972,45076,44222,42666,0.033
41,South Carolina,56227,52306,50570,49501,47238,45238,44163,43107,42367,42018,0.0329
42,Tennessee,56071,52375,51340,48547,47275,44361,44297,42764,41693,41461,0.0341
43,Oklahoma,54449,51924,50051,49176,48568,47529,45690,44312,43225,42072,0.0291
44,Kentucky,52295,50247,48375,46659,45215,42958,43399,41724,41141,40062,0.0301
45,New Mexico,51945,47169,46744,46748,45382,44803,43872,42558,41963,42090,0.0237
46,Alabama,51734,49861,48123,46257,44765,42830,42849,41574,41415,40474,0.0276
47,Louisiana,51073,47905,46145,45146,45727,44555,44164,42944,41734,42505,0.0206
48,Arkansas,48952,47062,45869,44334,41995,41262,40511,40112,38758,38307,0.0276
49,West Virginia,48850,44097,43469,43385,42019,41059,41253,40196,38482,38218,0.0276
50,Mississippi,45792,44717,43529,41754,40593,39680,37963,37095,36919,36851,0.0244
