State,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2006,2004,2002,2000,1998,1996,1994,1992,1990,1986,1984,1982,1980,1978
Alabama,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Alaska,Rep,Rep,Rep,Rep*,Rep*,Rep,Rep,Rep,Rep,Split,Split,Split,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,S,S,S,S,S
Arizona,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Arkansas,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
California,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Colorado,Dem,Dem,Dem,Divided,Split,Split,Split,Dem,Dem,Split,Split,Dem,Dem,Dem,Dem,Dem,Rep,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Connecticut,Dem,Dem,Dem,Divided*,Split*,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Delaware,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Split,Split,Split,Split,Split,Split,Split,S,Dem,Dem,Dem,Dem
Florida,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,Dem,Dem,Dem,Dem,Dem,Dem
Georgia,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
